code,name,rmu_id
SIA,Sistem Informasi Akuntansi,e150b60b6ad54e7097b3d2618bda5d6b
AKP,Akuntansi Public,e150b60b6ad54e7097b3d2618bda5d6b
AKU,Akuntansi Keuangan,e150b60b6ad54e7097b3d2618bda5d6b
AKS,Akuntansi Syariah,e150b60b6ad54e7097b3d2618bda5d6b
