id,code,name,alias
688129f5ba0e412e8f1624a31b1f0ec3,1,Mata Kuliah Umum,MKDU
b39164a7739945009d603c2243acbae2,2,Mata Kuliah Keahlian,MKDK
99ee135d568b48aba0686f084cfe847c,3,Mata Kuliah Keilmuan dan Keterampilan,MKK
282027533bf24714b177e11e14a6a873,4,Mata Kuliah Keahlian Berkarya,MKB
19510f02d7634344b61ff96f1084b8f8,5,Mata Kuliah Perilaku Berkarya,MPB
448ea880abc84308bf7c13a06b4b40bb,6,Mata Kuliah Pengembangan Kepribadian,MPK
3c24b5ef75514c83bd9c521b3c47bfa5,7,Mata Kuliah Kehidupan Bermasyarakat,MBB
